Model,MSE,RMSE,MAE,R-squared
Baseline MLP,3.288787987391748,1.81350158185532,0.8372434477858863,0.992608647399032
Tuned MLP,0.911792596013031,0.9548783147674006,0.42254358026412503,0.9979508011456132
